"","V3","V4"
"1","m/z","RT"
"942","395.5824","2.86"
"943","444.2592","2.86"
"944","594.8212","2.86"
"945","595.3235","2.86"
"946","657.3662","2.86"
"947","736.4321","2.86"
"948","875.4260","2.86"
"949","239.1356","2.87"
"950","255.1100","2.87"
"951","274.0476","2.87"
"952","289.0936","2.87"
"953","327.1579","2.87"
"954","383.0415","2.87"
"955","385.7407","2.87"
"956","389.9066","2.87"
"957","394.2541","2.87"
"958","394.7558","2.87"
"959","401.1352","2.87"
"960","417.1326","2.87"
"961","450.0405","2.87"
"962","465.7762","2.87"
"963","484.2806","2.87"
"964","502.3238","2.87"
"965","502.6576","2.87"
"966","522.2367","2.87"
"967","576.3492","2.87"
"968","757.3610","2.87"
"969","770.4741","2.87"
"970","236.0916","2.88"
"971","258.0738","2.88"
"972","283.1627","2.88"
"973","303.1094","2.88"
"974","307.1650","2.88"
"975","316.1116","2.88"
"976","327.1254","2.88"
"977","336.1914","2.88"
"978","347.1853","2.88"
"979","370.1529","2.88"
"980","385.1411","2.88"
"981","410.2577","2.88"
"982","419.7755","2.88"
"983","429.1512","2.88"
"984","431.1476","2.88"
"985","526.3329","2.88"
"986","526.8346","2.88"
"987","534.2916","2.88"
"988","534.3483","2.88"
"989","536.7976","2.88"
"990","539.6805","2.88"
"991","582.2493","2.88"
"992","592.3539","2.88"
"993","606.8712","2.88"
"994","616.8340","2.88"
"995","930.5484","2.88"
"996","310.2023","2.89"
"997","321.1807","2.89"
"998","369.1672","2.89"
"999","385.2119","2.89"
"1000","398.9065","2.89"
"1001","404.5821","2.89"
"1002","423.1679","2.89"
"1003","467.2259","2.89"
"1004","467.3014","2.89"
"1005","467.8031","2.89"
"1006","469.7791","2.89"
"1007","474.2911","2.89"
"1008","474.7928","2.89"
"1009","477.7661","2.89"
"1010","478.2679","2.89"
"1011","509.3120","2.89"
"1012","509.8141","2.89"
"1013","539.3460","2.89"
"1014","540.0145","2.89"
"1015","540.2352","2.89"
"1016","597.8560","2.89"
"1017","598.2229","2.89"
"1018","598.3579","2.89"
"1019","606.3693","2.89"
"1020","617.3358","2.89"
"1021","916.5685","2.89"
"1022","937.4975","2.89"
"1023","214.1338","2.90"
"1024","240.1230","2.90"
"1025","261.1806","2.90"
"1026","296.1646","2.90"
"1027","299.1367","2.90"
"1028","309.0635","2.90"
"1029","340.2091","2.90"
"1030","344.2543","2.90"
"1031","368.2021","2.90"
"1032","386.2402","2.90"
"1033","458.2898","2.90"
"1034","465.7852","2.90"
"1035","608.8479","2.90"
"1036","214.1217","2.91"
"1037","257.1856","2.91"
"1038","294.1852","2.91"
"1039","300.1214","2.91"
"1040","319.0940","2.91"
"1041","340.7108","2.91"
"1042","348.7224","2.91"
"1043","349.2240","2.91"
"1044","357.2356","2.91"
"1045","357.7373","2.91"
"1046","359.7133","2.91"
"1047","360.2133","2.91"
"1048","367.7003","2.91"
"1049","369.1085","2.91"
"1050","380.1711","2.91"
"1051","390.7329","2.91"
"1052","391.2345","2.91"
"1053","399.2464","2.91"
"1054","399.7480","2.91"
"1055","407.3025","2.91"
"1056","407.7539","2.91"
"1057","409.7117","2.91"
"1058","416.2672","2.91"
"1059","416.7689","2.91"
"1060","419.2299","2.91"
"1061","433.2365","2.91"
"1062","451.1603","2.91"
"1063","458.7878","2.91"
