Query.Mass,Matched.Compound,Matched.Form,Retention.Time,Mass.Diff,Empirical.Compound
305.2479,C00219,M+H[1+],9.23,0.000423533229991335,EC00045
323.2574,C00219,M+H2O+H[1+],3.93,0.000676466770016759,EC00041
323.2576,C00219,M+H2O+H[1+],4.28,0.00047646677001012,EC00041
323.2577,C00219,M+H2O+H[1+],4.12,0.000376466770035222,EC00041
323.25779,C00219,M+H2O+H[1+],3.83,0.000286466770035076,EC00041
327.2289,C00219,M+Na[1+],5.26,0.000576466770041861,EC00041
327.229,C00219,M+Na[1+],4.93,0.000476466770066963,EC00041
327.2291,C00219,M+Na[1+],5.34,0.000376466770035222,EC00041
327.22918,C00219,M+Na[1+],5.31,0.000296466770066672,EC00041
327.2292,C00219,M+Na[1+],5.5,0.000276466770060324,EC00041
327.2296,C00219,M+Na[1+],4.78,0.000123533229952955,EC00041
327.2297,C00219,M+Na[1+],4.61,0.000223533229927853,EC00041
327.2302,C00219,M+Na[1+],4.44,0.000723533229972873,EC00041
343.2027,C00219,M+K[1+],5.34,0.000276466770003481,EC00041
343.2029,C00219,M+K[1+],4.23,7.64667699968413e-05,EC00041
343.203,C00219,M+K[1+],4.93,2.35332299780566e-05,EC00041
343.2034,C00219,M+K[1+],4.8,0.000423533229991335,EC00041
373.234,C00219,M+HCOONa[1+],3.68,0.000876466770023399,EC00041
373.2348,C00219,M+HCOONa[1+],4.49,7.64667699968413e-05,EC00041
373.2349,C00219,M+HCOONa[1+],3.96,2.35332299780566e-05,EC00041
389.2073,C00219,M+HCOOK[1+],3.68,0.00147646677004332,EC00041
