m.z,rt,p.value,t.score
224.0914,2.2,0.0247308635331026,-1.38606083333333
359.1034,2.2,0.288396068412704,0.840826499999999
214.1707,2.21,0.177523082676172,0.416780166666667
313.2093,2.21,0.458803493348534,-0.702876166666667
343.1295,2.21,0.953901362796042,-0.0406461666666683
493.281,2.21,0.970822436316751,0.0493736666666673
355.2202,2.22,0.0817023362257528,-1.30517466666667
497.3029,2.22,0.676665447856815,0.405541666666667
692.4061,2.24,0.0771884177293614,-1.46219183333333
304.6962,2.25,0.025220660733017,-2.01925666666667
346.7067,2.25,0.368676894228136,-0.642349666666669
347.2083,2.25,0.852688874134047,-0.187189333333332
214.0096,2.26,0.266633679700987,0.522652999999999
309.1673,2.26,0.276519489694816,0.467939833333332
325.1415,2.26,0.401444666091762,0.374545333333333
269.1747,2.27,0.971057311249511,0.0373845000000016
296.1828,2.27,0.0238577063956901,-1.804422
305.1978,2.27,0.0334640156044088,-1.61569683333333
296.6847,2.29,0.17737698909662,-1.07239416666667
308.1849,2.29,0.0171529256445841,2.20651333333333
608.3852,2.29,0.0117867828035049,-1.5968975
283.1749,2.3,0.0146414877467957,0.431628999999998
363.7276,2.3,0.599881237704812,-0.565216333333332
372.241,2.3,0.897097389795172,-0.156604833333332
726.4478,2.3,0.69658832212821,0.317105166666668
227.1282,2.31,0.320054507683948,0.614150833333335
313.7112,2.31,0.0572395660814733,-1.422659
372.7426,2.31,0.594290432216082,0.450897499999999
209.1178,2.32,0.607695291984674,0.356543833333333
214.1215,2.32,0.633067860287249,-0.604921166666668
245.1861,2.32,0.0308935977837821,0.901649166666667
249.1099,2.32,0.401370839687059,0.510172666666666
265.0839,2.32,0.230992160829207,0.614615666666667
629.3142,2.32,0.0450241645207367,-1.64144716666667
239.1489,2.33,0.0143420286569755,0.426537666666665
416.1093,2.33,0.240564772191246,0.835477333333332
453.2098,2.33,0.606567088947598,-0.484720166666668
323.1597,2.34,0.548802671753964,0.321136833333333
415.2539,2.34,0.244241168395883,-0.845308333333333
432.2804,2.34,0.100015067412323,-0.778284000000001
300.2017,2.35,0.0126460261066393,0.440104166666667
389.2549,2.35,0.0755135442681019,1.1117005
458.1927,2.35,0.204682111055457,-1.167334
277.1668,2.36,0.816190527701092,-0.37247883333333
311.1757,2.37,0.190869245010356,1.408298
442.27,2.37,0.196769088377595,1.40527833333333
464.2521,2.37,0.360363044714473,0.770386999999999
480.226,2.37,0.0918183814958706,1.85159466666667
214.1707,2.38,0.0609873591729931,0.680172
302.1382,2.38,0.204436989060938,-1.31520566666667
318.6978,2.38,0.120167375728656,-1.0797475
340.0941,2.38,0.19612135931207,-1.16958733333334
327.2106,2.39,0.0217922175117475,-1.71254416666667
364.2259,2.39,0.204351014170225,-1.18296216666667
431.2176,2.39,0.354823745394268,0.957096166666667
440.2547,2.39,0.53532104147577,-0.674739833333333
542.289,2.39,0.65947143871752,0.522482
478.2104,2.4,0.47822035741724,-0.802883833333333
490.2859,2.4,0.0185798269752255,-1.971992
673.3405,2.4,0.0130359272219207,-1.959084
214.1742,2.41,0.014039211127985,0.842766833333332
326.7093,2.41,0.00633034443459317,-1.8453265
344.2425,2.41,0.0515244190485296,0.956413666666667
345.6873,2.41,0.0652218979583554,1.947958
403.2701,2.41,0.0651694141562785,-1.60055583333333
430.2643,2.41,0.0701316780018192,-1.56392066666667
459.1409,2.41,0.627922805114435,-0.481441000000001
217.1071,2.42,0.772204339891104,0.244723999999999
318.196,2.42,0.11020134100164,-1.22428066666667
327.2105,2.42,0.00772905235348385,-1.92433516666667
335.2225,2.42,0.00621535628621267,-1.7108985
335.7242,2.42,0.0692067917604436,-1.320096
344.2279,2.42,0.0106152649682106,0.453682333333332
429.2401,2.42,0.00750432998367168,0.639954833333333
516.3017,2.42,0.166066912992843,-0.935773333333335
652.4112,2.42,0.00873958120134503,-1.5679455
657.3664,2.42,0.18675052314437,1.25485183333333
214.0518,2.43,0.0178396952889539,0.505799833333332
443.2295,2.43,0.622253997162861,0.600640999999999
377.2332,2.44,0.0991034109226514,-1.107805
377.7348,2.44,0.0579704887935941,-1.344112
401.2867,2.44,0.445959331080371,0.435392000000001
227.0902,2.45,0.218813616928412,-1.92778233333334
332.1065,2.45,0.291209519075944,1.195495
368.7198,2.45,0.158293910226035,-1.06843516666667
415.1137,2.45,0.48123374319556,-0.752263333333336
510.2366,2.45,0.671731186900669,0.418590499999999
736.4322,2.45,0.0686474731192833,-1.32002616666667
208.097,2.46,0.89002451089038,-0.0761703333333336
211.0349,2.46,0.0623925051350428,-1.76486416666667
214.1258,2.46,0.284791909909577,-0.664162166666668
214.1271,2.46,0.0546902688824807,0.386789333333333
227.0087,2.46,0.116168884958035,-1.44818566666667
313.0839,2.46,0.068191644999659,1.7769505
391.2704,2.46,0.505592838515546,0.417907833333333
472.2806,2.46,0.0802881735302389,1.17216733333333
489.2348,2.46,0.395189161549119,-0.837979166666666
492.2458,2.46,0.0700261814100211,0.856179333333332
508.2211,2.46,0.890171869605217,-0.139647333333334
695.3636,2.46,0.540217566323886,0.548394333333332
203.1389,2.47,0.0718297380736058,0.684002499999998
214.1703,2.47,0.131457770738715,0.676781999999999
286.2012,2.47,0.0499498893697898,-2.1306415
436.224,2.47,0.64675678822764,-0.541809333333332
458.1924,2.47,0.554882176667632,-0.585857666666667
214.1212,2.48,0.626085163381997,0.834714333333336
270.1312,2.48,0.50460535446957,-0.517968833333334
307.2069,2.48,0.485888898909112,-0.810216833333334
394.7559,2.48,0.65175374577217,0.526080499999999
443.7647,2.48,0.298357102256076,-0.640532166666666
248.1494,2.49,0.475973737001015,-0.522040166666666
286.1051,2.49,0.408567762783713,-0.606399833333334
385.7408,2.49,0.707128121734332,-0.431080333333332
394.2542,2.49,0.102305288834413,-1.95299983333333
770.4742,2.49,0.479454165389908,-0.529351500000001
211.1445,2.5,0.760494493297775,-0.209683166666666
401.2068,2.5,0.627223596397269,0.680491166666666
423.1887,2.5,0.559853544788579,0.721109333333333
439.1629,2.5,0.663745713944855,0.486440666666666
556.3249,2.5,0.977783466623766,0.0372708333333312
258.2061,2.51,0.554687740564031,-0.333066666666665
405.2861,2.51,0.181970216443637,1.16735166666667
452.2778,2.51,0.0967737126465644,-1.43553133333333
452.7796,2.51,0.155989637985638,-1.22274483333333
459.2802,2.51,0.265434711887216,-0.880189833333333
476.3067,2.51,0.0480431330138727,-1.03850516666667
479.3154,2.51,0.266604990648757,1.1331205
481.2621,2.51,0.24912473884345,1.21713966666667
497.2361,2.51,0.0811639605147701,-1.30663083333333
550.3432,2.51,0.758564092604794,-0.307638333333333
438.2389,2.52,0.746212415742829,-0.229781166666668
