"p.value","m.z","t.score","r.t"
0.972817743534402,409.383,0.0337448333333321,8.58
0.837771308088662,514.5196,0.183688500000001,8.58
0.749550990034076,519.4388,-0.114347333333334,8.58
0.839826135185142,543.4749,-0.142646166666668,8.58
0.131384276988044,587.5034,-0.807150166666668,8.58
0.683477254826773,591.4398,-0.365365666666666,8.58
0.106661527617279,598.5398,-0.859947833333336,8.58
0.685527812130666,620.5234,-0.259733833333334,8.58
0.91082375986379,625.4231,-0.142430666666668,8.58
0.907730893616451,628.5272,-0.0806509999999996,8.58
0.261994635645072,633.4834,0.792451333333333,8.58
0.525908724259084,635.4994,0.461393333333333,8.58
0.670400400121152,641.3967,0.390381333333334,8.58
0.493877808281463,641.5106,0.845219500000002,8.58
0.791322494532558,649.457,0.367690833333335,8.58
0.104468512270731,717.5636,0.645261666666669,8.58
0.88524783844202,742.6352,-0.0970308333333338,8.58
0.020621341566068,745.4995,1.94594816666667,8.58
0.53279121118528,756.6134,0.466557499999999,8.58
0.585049729286548,771.5395,0.283071999999999,8.58
0.193196190103942,772.5915,-0.764172833333335,8.58
0.0029293350192477,806.5664,2.28660633333333,8.58
0.612927561585932,838.5052,-0.444647333333331,8.58
0.00701052060109394,860.68,1.89022366666667,8.58
0.314258712799113,888.5702,-0.764141000000001,8.58
0.799526385740487,271.2417,-0.334835666666664,8.59
0.387218136324589,412.4149,-0.593578666666669,8.59
0.186082097851528,417.3704,-0.797982333333334,8.59
0.78383461436858,551.4822,0.195712999999999,8.59
0.569708064205096,562.4918,-0.355406000000001,8.59
0.140613776517869,582.8641,0.564211833333334,8.59
0.533675942088401,591.4753,0.465496666666667,8.59
0.0396420948005281,627.5462,1.50997566666667,8.59
0.320771343998717,645.4841,0.9581145,8.59
0.033066754243578,675.4934,1.40224416666667,8.59
0.664316070412846,679.5248,-0.307365166666666,8.59
0.00020221400886641,756.5511,2.87937116666666,8.59
0.40342714017783,765.5793,-0.442126999999998,8.59
0.773073566979719,772.5245,-0.357215333333331,8.59
0.184607011172059,790.6395,-0.647135333333334,8.59
0.785371372056971,792.5204,0.283233666666667,8.59
0.59059044632582,812.6223,0.369465666666668,8.59
0.0288028859600867,824.5382,1.85413683333333,8.59
0.306970439721673,839.6214,-0.550517166666668,8.59
0.855551122306218,865.6371,-0.175001666666668,8.59
0.353749331392601,877.5797,0.455585666666669,8.59
0.484793100660892,895.5902,0.437680166666668,8.59
0.519090265394745,917.5727,0.319209500000001,8.59
0.492355573391874,395.3884,-0.463305666666669,8.6
0.885006633457041,433.3444,-0.103763166666669,8.6
0.624281275577671,491.3869,-0.432677166666669,8.6
0.130065096747431,509.493,1.126243,8.6
0.940233918776861,557.3856,0.0796874999999995,8.6
0.860733574742642,557.8871,0.186506499999999,8.6
0.992733969802523,589.5154,0.0080106666666664,8.6
0.0257072524179171,592.506,-1.39238083333334,8.6
